0,1,2,3,4
1,980,461,The place was clean!,"4
"
2,946,322,Great!,"4
"
3,200,390,Great!,"4
"
4,305,326,The place was clean!,"4
"
5,461,338,Great!,"2
"
6,939,434,Great!,"5
"
7,958,328,Was easy to find!,"3
"
8,262,178,Overall positive experience,"4
"
9,641,571,Overall positive experience,"4
"
10,892,163,Great!,"3
"
11,242,805,The place was clean!,"5
"
12,250,368,The place was a perfect storage for my needs!,"2
"
13,316,241,Was easy to find!,"2
"
14,823,720,Overall positive experience,"3
"
15,255,424,Was easy to find!,"2
"
16,578,582,Great!,"3
"
17,766,27,The place was clean!,"4
"
18,5,450,Overall positive experience,"2
"
19,638,718,Great!,"4
"
20,856,559,The place was a perfect storage for my needs!,"3
"
21,66,342,Overall positive experience,"4
"
22,585,500,The place was a perfect storage for my needs!,"2
"
23,305,863,Great!,"4
"
24,841,369,The place was clean!,"2
"
25,825,582,Was easy to find!,"2
"
26,328,544,Overall positive experience,"5
"
27,215,152,The place was a perfect storage for my needs!,"2
"
28,226,57,The place was clean!,"2
"
29,519,38,The place was a perfect storage for my needs!,"3
"
30,94,684,Overall positive experience,"4
"
31,965,284,The place was clean!,"2
"
32,532,413,Overall positive experience,"3
"
33,880,805,The place was a perfect storage for my needs!,"4
"
34,261,564,The place was a perfect storage for my needs!,"2
"
35,419,502,The place was a perfect storage for my needs!,"3
"
36,997,347,Overall positive experience,"2
"
37,798,80,The place was clean!,"2
"
38,179,462,The place was clean!,"4
"
39,623,649,Was easy to find!,"2
"
40,420,97,Overall positive experience,"3
"
41,249,77,Was easy to find!,"4
"
42,462,360,Was easy to find!,"3
"
43,70,708,Overall positive experience,"4
"
44,750,55,Was easy to find!,"4
"
45,252,484,The place was a perfect storage for my needs!,"4
"
46,89,838,The place was clean!,"2
"
47,276,874,Great!,"4
"
48,657,254,The place was clean!,"4
"
49,576,523,Overall positive experience,"4
"
50,797,225,The place was a perfect storage for my needs!,"3
"
51,571,183,The place was a perfect storage for my needs!,"3
"
52,318,53,Overall positive experience,"3
"
53,991,982,Great!,"3
"
54,589,87,The place was clean!,"3
"
55,99,96,The place was clean!,"2
"
56,278,943,The place was a perfect storage for my needs!,"5
"
57,191,742,Great!,"4
"
58,195,422,The place was clean!,"4
"
59,348,217,Great!,"4
"
60,22,114,The place was a perfect storage for my needs!,"2
"
61,190,997,The place was a perfect storage for my needs!,"3
"
62,951,299,Great!,"5
"
63,739,867,Great!,"5
"
64,123,122,Overall positive experience,"5
"
65,694,880,Overall positive experience,"3
"
66,348,395,Was easy to find!,"5
"
67,519,143,Overall positive experience,"2
"
68,351,136,The place was a perfect storage for my needs!,"4
"
69,546,417,Overall positive experience,"3
"
70,815,97,Great!,"5
"
71,845,307,Overall positive experience,"3
"
72,967,316,The place was clean!,"4
"
73,81,983,Was easy to find!,"4
"
74,51,125,Great!,"2
"
75,755,445,The place was clean!,"2
"
76,149,16,Was easy to find!,"4
"
77,734,209,Was easy to find!,"3
"
78,781,860,Was easy to find!,"5
"
79,933,618,The place was clean!,"5
"
80,72,589,Overall positive experience,"3
"
81,776,79,Overall positive experience,"5
"
82,636,517,The place was clean!,"3
"
83,707,942,Overall positive experience,"5
"
84,367,814,Overall positive experience,"3
"
85,354,990,Was easy to find!,"5
"
86,138,809,Was easy to find!,"5
"
87,753,678,The place was clean!,"4
"
88,60,32,The place was a perfect storage for my needs!,"5
"
89,64,506,Was easy to find!,"2
"
90,609,678,Was easy to find!,"3
"
91,197,748,Was easy to find!,"5
"
92,866,76,Overall positive experience,"5
"
93,775,255,Great!,"3
"
94,987,560,The place was a perfect storage for my needs!,"2
"
95,609,949,Overall positive experience,"3
"
96,193,830,Was easy to find!,"3
"
97,633,572,The place was a perfect storage for my needs!,"3
"
98,899,548,Great!,"5
"
99,643,66,Overall positive experience,"5
"
100,720,832,Great!,"5
"
101,237,799,Overall positive experience,"5
"
102,732,547,The place was clean!,"2
"
103,671,375,Overall positive experience,"2
"
104,432,214,Overall positive experience,"5
"
105,55,874,The place was clean!,"4
"
106,94,798,Was easy to find!,"2
"
107,509,243,The place was clean!,"5
"
108,282,551,Overall positive experience,"5
"
109,90,869,The place was a perfect storage for my needs!,"4
"
110,339,505,The place was clean!,"2
"
111,83,95,The place was clean!,"4
"
112,333,232,The place was a perfect storage for my needs!,"5
"
113,899,838,The place was clean!,"2
"
114,803,5,The place was clean!,"3
"
115,811,852,Great!,"3
"
116,665,392,Was easy to find!,"2
"
117,301,888,The place was clean!,"3
"
118,528,864,Overall positive experience,"2
"
119,467,873,Great!,"2
"
120,451,743,Overall positive experience,"3
"
121,981,731,The place was a perfect storage for my needs!,"4
"
122,672,706,Great!,"2
"
123,744,537,Overall positive experience,"4
"
124,317,184,Was easy to find!,"4
"
125,117,763,Was easy to find!,"5
"
126,285,281,The place was a perfect storage for my needs!,"3
"
127,583,11,The place was clean!,"3
"
128,854,561,The place was clean!,"2
"
129,569,429,Overall positive experience,"3
"
130,581,183,Was easy to find!,"3
"
131,943,638,The place was clean!,"4
"
132,106,884,The place was a perfect storage for my needs!,"2
"
133,408,790,Overall positive experience,"4
"
134,342,424,The place was a perfect storage for my needs!,"5
"
135,311,72,Overall positive experience,"5
"
136,904,426,The place was a perfect storage for my needs!,"5
"
137,631,645,Overall positive experience,"2
"
138,176,169,Overall positive experience,"2
"
139,965,230,The place was clean!,"4
"
140,85,744,The place was clean!,"2
"
141,555,939,Was easy to find!,"3
"
142,397,601,Was easy to find!,"4
"
143,823,726,Overall positive experience,"3
"
144,256,499,Overall positive experience,"2
"
145,441,591,Overall positive experience,"4
"
146,665,217,The place was clean!,"3
"
147,538,985,Overall positive experience,"2
"
148,12,371,Was easy to find!,"4
"
149,293,745,Overall positive experience,"2
"
150,106,450,Was easy to find!,"3
"
151,869,531,Great!,"2
"
152,366,75,The place was clean!,"3
"
153,526,513,Overall positive experience,"2
"
154,789,813,The place was clean!,"2
"
155,470,910,Overall positive experience,"4
"
156,651,505,Great!,"3
"
157,619,351,Great!,"4
"
158,958,225,Overall positive experience,"3
"
159,330,762,The place was a perfect storage for my needs!,"3
"
160,817,294,The place was a perfect storage for my needs!,"2
"
161,917,537,The place was a perfect storage for my needs!,"2
"
162,791,701,Great!,"2
"
163,465,533,The place was clean!,"5
"
164,349,521,The place was clean!,"2
"
165,585,666,The place was a perfect storage for my needs!,"4
"
166,44,579,Was easy to find!,"3
"
167,368,827,The place was a perfect storage for my needs!,"4
"
168,90,487,The place was a perfect storage for my needs!,"5
"
169,754,879,The place was clean!,"4
"
170,618,67,The place was a perfect storage for my needs!,"2
"
171,451,95,Was easy to find!,"3
"
172,58,485,The place was a perfect storage for my needs!,"4
"
173,58,372,Overall positive experience,"5
"
174,364,863,Overall positive experience,"3
"
175,602,35,The place was a perfect storage for my needs!,"4
"
176,872,8,The place was a perfect storage for my needs!,"2
"
177,197,407,Overall positive experience,"5
"
178,334,59,The place was a perfect storage for my needs!,"3
"
179,599,220,Was easy to find!,"5
"
180,448,616,Was easy to find!,"4
"
181,839,755,The place was a perfect storage for my needs!,"4
"
182,523,721,Overall positive experience,"5
"
183,432,487,Great!,"5
"
184,566,301,Great!,"2
"
185,142,719,The place was clean!,"5
"
186,413,425,Was easy to find!,"5
"
187,427,712,Was easy to find!,"5
"
188,540,315,Great!,"2
"
189,551,269,Overall positive experience,"4
"
190,181,766,Great!,"5
"
191,815,901,Great!,"3
"
192,268,970,Great!,"3
"
193,120,565,Overall positive experience,"5
"
194,503,143,The place was a perfect storage for my needs!,"4
"
195,905,390,Great!,"5
"
196,820,83,The place was a perfect storage for my needs!,"2
"
197,324,283,The place was clean!,"4
"
198,558,434,The place was clean!,"2
"
199,389,352,Great!,"4
"
200,588,605,Was easy to find!,"4
"
201,411,208,Great!,"2
"
202,844,641,Overall positive experience,"3
"
203,134,837,Overall positive experience,"5
"
204,443,823,Overall positive experience,"5
"
205,157,969,The place was clean!,"5
"
206,875,978,The place was a perfect storage for my needs!,"4
"
207,886,826,The place was a perfect storage for my needs!,"2
"
208,78,606,Was easy to find!,"2
"
209,52,536,Great!,"4
"
210,948,904,The place was clean!,"5
"
211,65,100,The place was a perfect storage for my needs!,"5
"
212,244,962,Was easy to find!,"4
"
213,27,265,Overall positive experience,"4
"
214,403,600,The place was clean!,"2
"
215,146,138,The place was a perfect storage for my needs!,"4
"
216,507,814,Overall positive experience,"4
"
217,401,809,Great!,"3
"
218,159,296,The place was a perfect storage for my needs!,"2
"
219,394,245,Great!,"4
"
220,427,322,Great!,"3
"
221,20,298,Overall positive experience,"2
"
222,129,144,The place was clean!,"4
"
223,445,948,Great!,"2
"
224,359,68,The place was clean!,"3
"
225,740,912,Great!,"3
"
226,317,715,Overall positive experience,"5
"
227,56,891,Overall positive experience,"5
"
228,749,816,Overall positive experience,"3
"
229,813,515,The place was a perfect storage for my needs!,"5
"
230,395,842,Was easy to find!,"2
"
231,864,294,Great!,"5
"
232,207,808,The place was a perfect storage for my needs!,"4
"
233,763,340,Great!,"5
"
234,443,254,Great!,"3
"
235,916,326,The place was clean!,"3
"
236,208,359,Great!,"2
"
237,206,187,Overall positive experience,"5
"
238,405,647,Was easy to find!,"5
"
239,707,597,Great!,"3
"
240,610,830,Was easy to find!,"3
"
241,637,354,The place was a perfect storage for my needs!,"5
"
242,811,744,The place was a perfect storage for my needs!,"3
"
243,938,124,Great!,"3
"
244,677,878,Overall positive experience,"4
"
245,697,719,The place was clean!,"5
"
246,477,371,The place was a perfect storage for my needs!,"5
"
247,955,602,The place was clean!,"2
"
248,305,786,The place was clean!,"3
"
249,848,806,Great!,"2
"
250,237,546,Great!,"2
"
251,900,221,The place was a perfect storage for my needs!,"5
"
252,337,488,The place was clean!,"2
"
253,937,726,The place was clean!,"2
"
254,331,406,Overall positive experience,"3
"
255,785,782,Overall positive experience,"5
"
256,609,802,The place was a perfect storage for my needs!,"4
"
257,542,925,Was easy to find!,"4
"
258,611,109,Great!,"4
"
259,396,124,The place was clean!,"2
"
260,634,61,Overall positive experience,"3
"
261,639,245,Overall positive experience,"4
"
262,157,881,The place was clean!,"3
"
