0,1,2,3,4,5
1,695,Boston,11-20-2021,35.84,"2521
"
2,488,Nuuk,05-30-2022,48.89,"2097
"
3,63,Lyon,07-12-2022,25.83,"4158
"
4,698,Kaohsiung,03-16-2022,93.02,"5247
"
5,353,Patna,04-11-2022,12,"9709
"
6,819,Braslia,12-01-2021,21.26,"8645
"
7,741,Yellowknife,09-09-2022,23.69,"9125
"
8,916,Raleigh,06-01-2022,26.21,"199
"
9,349,Mecca,05-21-2022,24.44,"9291
"
10,376,Hu,07-01-2022,26.55,"8287
"
11,662,San Francisco,12-18-2021,61.38,"1376
"
12,962,Cologne,11-15-2021,85.35,"3692
"
13,871,Basra,08-17-2022,72.75,"6983
"
14,985,Sana'a,03-22-2022,31.94,"4858
"
15,943,Hanover,05-29-2022,55.67,"7031
"
16,457,Birmingham,12-06-2021,86.66,"2837
"
17,145,Durban,12-28-2021,18.47,"2834
"
18,186,Gaziantep,07-05-2022,31.78,"7485
"
19,690,Dibrugarh,06-06-2022,52.19,"8080
"
20,900,Rosario,08-27-2022,33.17,"7699
"
21,907,Freetown,07-13-2022,28.41,"4084
"
22,324,Stockholm,02-11-2022,96.58,"6171
"
23,505,Fredericton,08-29-2022,79.2,"3701
"
24,946,Yamoussoukro,04-02-2022,71.12,"3921
"
25,32,Bissau,06-14-2022,17.53,"8896
"
26,686,Porto Velho,09-17-2022,56.91,"5503
"
27,993,Dushanbe,07-23-2022,19.88,"9101
"
28,773,Jaipur,01-13-2022,38.56,"9980
"
29,150,Basse-Terre,02-03-2022,40.73,"5173
"
30,578,Pelotas,03-06-2022,100.54,"556
"
31,977,Malabo,03-11-2022,91.17,"3913
"
32,226,Charlotte Amalie,02-27-2022,83.73,"3929
"
33,650,Espoo,03-13-2022,55.13,"1004
"
34,37,Seoul,08-17-2022,28.26,"9323
"
35,313,Amritsar,06-14-2022,33.13,"2036
"
36,486,Nantes,09-05-2022,71.27,"2782
"
37,929,Siem Reap,04-23-2022,12.5,"4231
"
38,496,Rio Branco,10-21-2022,72.58,"933
"
39,64,Malacca Town,03-03-2022,40.68,"953
"
40,956,Boston,11-29-2021,15.13,"2342
"
41,905,Abu Dhabi,10-04-2022,62.68,"9998
"
42,354,Santiago,02-23-2022,31.15,"6112
"
43,4,Douala,06-28-2022,92.5,"9116
"
44,222,So Jos dos Campos,04-30-2022,58.17,"8827
"
45,777,Nakhon Ratchasima,04-09-2022,66.55,"667
"
46,367,Boston,10-30-2022,65.75,"4232
"
47,628,Kathmandu,03-24-2022,4.69,"3202
"
48,891,Havana,10-14-2022,48.66,"3066
"
49,591,San Diego,03-11-2022,74.33,"3498
"
50,484,Adana,05-04-2022,54.28,"2433
"
51,674,Mrida,07-29-2022,37.4,"906
"
52,178,Cincinnati,07-26-2022,43.19,"2484
"
53,42,Panama City,08-03-2022,28.86,"7222
"
54,990,San Fernando,01-31-2022,14.68,"9636
"
55,317,New Delhi,06-12-2022,86.28,"6105
"
56,257,Dushanbe,04-03-2022,93.22,"7509
"
57,325,Maputo,09-20-2022,96.6,"2576
"
58,132,Yokohama,01-15-2022,75.19,"5434
"
59,292,Brisbane,04-25-2022,52.23,"1600
"
60,599,Rio de Janeiro,09-15-2022,18.17,"1218
"
61,566,Reykjavk,09-29-2022,52.1,"5642
"
62,816,Guangzhou,03-03-2022,35.73,"5719
"
63,562,Da Nang,07-28-2022,45.57,"4410
"
64,681,Nagpur,01-24-2022,78.38,"5392
"
65,136,Charlotte Amalie,04-19-2022,73.86,"9633
"
66,914,Pittsburgh,01-10-2022,14.1,"6461
"
67,851,El Aain,01-15-2022,91.1,"6861
"
68,121,Miri,06-29-2022,32.87,"9870
"
69,131,Malabo,07-07-2022,40.52,"5209
"
70,112,Sitka,01-17-2022,45.69,"6490
"
71,271,Abu Dhabi,11-18-2021,6.95,"5585
"
72,340,Rome,04-29-2022,32.93,"2893
"
73,249,Baltimore,01-10-2022,48.43,"9305
"
74,493,Antwerp,04-09-2022,75.92,"2792
"
75,647,Pristina,10-06-2022,10.62,"4895
"
76,239,Lucknow,03-15-2022,69.82,"3548
"
77,528,Harbin,05-01-2022,46.67,"2016
"
78,670,Singapore,12-29-2021,97.36,"3434
"
79,294,zmir,10-11-2022,39.57,"3527
"
80,469,Sitka,11-12-2021,99.65,"8052
"
81,940,Seoul,03-13-2022,66.06,"4160
"
82,342,Bilbao,06-29-2022,95.62,"3319
"
83,671,Batticaloa,07-30-2022,7.61,"9163
"
84,915,Gold Coast,04-26-2022,32.79,"8182
"
85,297,San Diego,04-19-2022,86.02,"3599
"
86,373,Magadan,02-17-2022,93.71,"1741
"
87,121,Liverpool,04-13-2022,5.02,"5178
"
88,770,Lahore,12-29-2021,74.26,"6281
"
89,948,Aberdeen,06-24-2022,23.87,"4254
"
90,995,Moroni,11-27-2021,52.23,"7575
"
91,86,Hilo,08-31-2022,16.37,"4029
"
92,803,Zamboanga City,02-10-2022,22.31,"1651
"
93,479,Niamey,06-11-2022,97.59,"8277
"
94,91,Horta (Azores),03-14-2022,94.42,"3021
"
95,892,Bishkek,01-03-2022,61.55,"6688
"
96,807,Bujumbura,05-08-2022,80.57,"9590
"
97,459,Vatican City,03-08-2022,37.65,"3563
"
98,104,Newcastle,04-23-2022,94.48,"9273
"
99,807,Kano,04-25-2022,67.85,"4489
"
100,713,Cockburn Town,07-08-2022,59.87,"8303
"
101,254,Honiara,04-11-2022,20.82,"3588
"
102,489,Jacksonville,05-27-2022,7.38,"609
"
103,1000,Hargeisa,10-19-2022,22.78,"6636
"
104,80,Anadyr (town),01-09-2022,71.4,"8745
"
105,308,Santiago de Cuba,03-11-2022,50.07,"8027
"
106,811,Philadelphia,11-09-2021,98.53,"1945
"
107,417,Lusaka,08-15-2022,15.09,"3163
"
108,604,Lima,09-24-2022,13.88,"6539
"
109,163,Kuching,04-10-2022,29.22,"9723
"
110,208,Medelln,02-28-2022,63.35,"6396
"
111,744,Atlanta,09-14-2022,39.91,"5935
"
112,528,So Paulo,12-10-2021,5.62,"1634
"
113,678,Chittagong,05-10-2022,16.92,"3175
"
114,697,Boston,09-07-2022,74.51,"9387
"
115,970,Asuncin,05-30-2022,78.49,"1332
"
116,306,Rabat,03-11-2022,6.57,"8609
"
117,547,Dodoma,09-13-2022,89.26,"2707
"
118,680,Dakar,02-01-2022,12.26,"4666
"
119,676,Amritsar,02-09-2022,83.74,"8216
"
120,707,The Hague,07-25-2022,57.93,"6432
"
121,523,Cockburn Town,10-07-2022,46.59,"6381
"
122,453,Tampere,04-08-2022,1.11,"8950
"
123,95,Chennai,03-16-2022,72.6,"2254
"
124,470,Dibrugarh,04-02-2022,8.72,"9890
"
125,713,Oklahoma City,09-26-2022,60.65,"5197
"
126,459,Phuket (city),12-23-2021,49.96,"9826
"
127,869,Raleigh,08-20-2022,15.14,"9578
"
128,338,Bishkek,03-26-2022,76.96,"5818
"
129,374,Surabaya,03-04-2022,57.27,"874
"
130,532,Naples,07-21-2022,6.97,"3971
"
131,709,Kobe,09-30-2022,17.92,"4029
"
132,348,Ciudad del Este,03-29-2022,12.71,"8076
"
133,230,Sukhumi,03-28-2022,40.45,"8255
"
134,30,Surabaya,06-01-2022,21.29,"8998
"
135,212,Balikpapan,12-22-2021,6.83,"3933
"
136,222,Charlottetown,03-01-2022,6.08,"2245
"
137,835,Amman,12-29-2021,24.42,"3829
"
138,890,Doha,03-10-2022,85.7,"7127
"
139,31,Cleveland,10-01-2022,89.36,"2797
"
140,899,Longyearbyen,11-10-2021,55.13,"226
"
141,287,Paris,06-02-2022,81.41,"9432
"
142,885,Kolkata,08-31-2022,75.8,"218
"
143,906,Tel Aviv,06-10-2022,75.67,"6650
"
144,578,Asmara,09-26-2022,5.44,"6598
"
145,795,Kaliningrad,10-02-2022,9.52,"5628
"
146,309,Hanga Roa,02-25-2022,20.19,"537
"
147,334,Yangon,08-21-2022,79.19,"1028
"
148,875,Banjul,03-07-2022,40.98,"1665
"
149,309,Anchorage,08-19-2022,41.15,"412
"
150,394,Prague,07-28-2022,65.08,"8450
"
151,896,Banjul,04-01-2022,98.07,"3896
"
152,256,Koulikoro,05-30-2022,43.45,"2155
"
153,314,Toulouse,03-20-2022,38.8,"3741
"
154,950,Ponta Delgada,03-11-2022,25.59,"8390
"
155,17,Fort-de-France,02-23-2022,67.74,"2772
"
156,795,Lagos,06-16-2022,19.14,"9897
"
157,968,Incheon,10-11-2022,65.31,"6140
"
158,208,Boa Vista,09-22-2022,84.98,"9163
"
159,471,Doha,04-28-2022,86.98,"1105
"
160,889,Maseru,08-19-2022,37.88,"7191
"
161,70,Cusco,08-01-2022,7.78,"9921
"
162,566,Bern,02-08-2022,44.44,"4018
"
163,384,Guatemala City,08-08-2022,33.25,"4564
"
164,301,Chu,01-30-2022,19.52,"2927
"
165,618,Turin,07-10-2022,30.67,"2966
"
166,647,Hyderabad,08-01-2022,15.6,"7471
"
167,122,Shijiazhuang,06-07-2022,20.31,"2639
"
