0,1,2,3,4
1,550,707,Great communication!,"4
"
2,657,214,The user's place was a perfect storage for my needs!,"5
"
3,182,665,The user was very friendly!,"4
"
4,770,148,Great communication!,"2
"
5,346,741,Overall positive experience,"5
"
6,593,455,Great communication!,"2
"
7,284,655,The user was very friendly!,"3
"
8,193,198,The user's place was a perfect storage for my needs!,"2
"
9,184,125,Overall positive experience,"5
"
10,842,318,The user was very friendly!,"1
"
11,182,907,Overall positive experience,"4
"
12,590,998,The user's place was a perfect storage for my needs!,"5
"
13,417,115,Overall positive experience,"3
"
14,486,470,Great communication!,"5
"
15,604,696,Great communication!,"1
"
16,124,847,The user's place was a perfect storage for my needs!,"2
"
17,410,413,Great!,"4
"
18,159,388,Great!,"5
"
19,329,891,Great communication!,"4
"
20,364,970,Great communication!,"1
"
21,884,152,Overall positive experience,"5
"
22,846,710,Great!,"3
"
23,319,795,The user was very friendly!,"2
"
24,117,35,The user was very friendly!,"1
"
25,611,500,Great!,"5
"
26,203,769,The user was very friendly!,"4
"
27,155,974,The user was very friendly!,"2
"
28,393,414,Great!,"1
"
29,358,290,Great!,"1
"
30,306,370,The user's place was a perfect storage for my needs!,"2
"
31,314,293,Great!,"4
"
32,197,830,The user's place was a perfect storage for my needs!,"5
"
33,529,36,The user's place was a perfect storage for my needs!,"3
"
34,310,179,The user's place was a perfect storage for my needs!,"2
"
35,858,160,The user's place was a perfect storage for my needs!,"5
"
36,291,472,Great!,"3
"
37,848,662,The user's place was a perfect storage for my needs!,"5
"
38,277,692,Great communication!,"5
"
39,515,522,Great communication!,"5
"
40,215,730,The user was very friendly!,"1
"
41,464,180,Great!,"2
"
42,665,657,Great communication!,"3
"
43,531,657,Great!,"1
"
44,295,85,Overall positive experience,"5
"
45,484,552,Great!,"4
"
46,427,77,Overall positive experience,"4
"
47,573,723,The user was very friendly!,"2
"
48,229,315,Great!,"1
"
49,60,128,The user's place was a perfect storage for my needs!,"5
"
50,846,905,Great!,"1
"
51,606,685,The user was very friendly!,"1
"
52,977,250,Great!,"1
"
53,993,424,The user was very friendly!,"1
"
54,372,10,The user's place was a perfect storage for my needs!,"1
"
55,497,685,The user's place was a perfect storage for my needs!,"3
"
56,588,489,The user's place was a perfect storage for my needs!,"3
"
57,549,394,Great!,"2
"
58,294,573,The user was very friendly!,"1
"
59,88,871,The user was very friendly!,"3
"
60,344,267,The user was very friendly!,"3
"
61,976,862,Great communication!,"4
"
62,908,507,Great!,"1
"
63,423,131,Overall positive experience,"4
"
64,181,861,The user was very friendly!,"2
"
65,115,128,Great communication!,"5
"
66,651,704,The user was very friendly!,"5
"
67,317,671,Great!,"1
"
68,905,792,Great!,"1
"
69,458,595,Great!,"2
"
70,183,427,The user's place was a perfect storage for my needs!,"2
"
71,141,557,The user's place was a perfect storage for my needs!,"2
"
72,501,107,Great!,"3
"
73,1000,24,The user's place was a perfect storage for my needs!,"4
"
74,100,267,Great communication!,"2
"
75,920,381,Great communication!,"5
"
76,223,314,Great communication!,"1
"
